web-scraper-order,web-scraper-start-url,product,product-href,product_name,product_rating,rating_amount,price,product_sold,condition,unit_weight,category,description,store_name,store_rating,store_location,image_1-src
1661902297-859,https://www.tokopedia.com/search?condition=1%232&navsource=&page=27&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Sisa 10Oppo A16e 3/32 GB Garansi ResmiRp1.520.000CashbackBandungDigitalE-4.9Terjual 250+,https://www.tokopedia.com/digitale-/oppo-a16e-3-32-gb-garansi-resmi-hitam?extParam=ivf%3Dfalse%26src%3Dsearch,Oppo A16e 3/32 GB Garansi Resmi - Hitam,4.9,(78 rating),Rp1.520.000,Terjual 250+,Baru,500 Gram,500 Gram,"GARANSI RESMI OPPO INDONESIA
NEW
NO REPACK

PENYIMPANAN
3GB + 32GB
Jenis RAM: LPDDR4X @ 1600 MHz 2 x 16 bit
Jenis ROM: eMMC 5.1
Memori Eksternal: Kartu MicroSD (Penyimpanan maksimal: 1TB)
Versi USB: USB 2.0
USB OTG: Didukung

LAYAR
Ukuran: 6,52"" (16,55 cm)
Rasio Layar: 89.27%
Resolusi: 1600x720 (HD+)
Refresh Rate: 60 Hz
Touch Sampling Rate: 60 Hz
Gamut Warna: Typical value 71% NTSC
Kerapatan piksel: 269PPI
Rasio Kontras: 1500:1 (Typical)
Kecerahan: 480 nits (Typical)
Panel: LCD
Kaca Pelindung: Corning Glass 3 (GG3)

KAMERA

Belakang
Kamera utama: 13MP: f/2.2; FOV 80 °; lensa 5P; AF didukung

Depan
5MP : f/2.4, FOV: 76°, lensa 3P

VIDEO
Belakang
Mendukung 1080P@30 fps dan 720P@30 fps

Depan
Mendukung 1080P@30 fps dan 720P@30 fps

CHIPSET
CPU: P22
Kecepatan CPU: hingga 2.0GHz
Inti CPU: 8 inti
GPU: IMG GE8320 650MHz

BATERAI
4100 mAh/15,78 Wh (Rated value)
4230 mAh/16,28 Wh (Typical value)

BIOMETRIK
Mendukung Buka Kunci Wajah

JARINGAN SELULER
SIM 2: Didukung
Jenis Kartu SIM: Kartu Nano-SIM/kartu Nano-USIM
2G: GSM 850/900/1800/1900 MHz
3G: UMTS (WCDMA) band 1/5/8
4G: TD-LTE band 38/40/41 (120MHz)
4G: LTE FDD band 1/3/5/8

KONEKTIVITAS
WLAN: Wi-Fi 2,4 GHz, Wi-Fi 5 GHz, Layar Wi-Fi
Versi Bluetooth: Bluetooth 5.0
Kodek Audio Bluetooth: SBC, AAC, aptX, LDAC
Antarmuka USB: USB Mikro USB
Jack Earphone: 3.5mm

SISTEM OPERASI
ColorOS 11.1 berbasis Android 11",DigitalE-,5.0,Kota Bandung,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/22/ab4aa706-9a5b-4922-808f-a0f77ea84307.jpg.webp?ect=4g
1661891090-419,https://www.tokopedia.com/search?condition=1%232&navsource=&page=34&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,INFINIX HOT 11 PLAY RAM 4/64 GB GARANSI RESMI INFINIXRp1.524.990TangerangHumblestore 95.0Terjual 500+,https://www.tokopedia.com/humblestore9/infinix-hot-11-play-ram-4-64-gb-garansi-resmi-infinix-random?extParam=ivf%3Dfalse%26src%3Dsearch,INFINIX HOT 11 PLAY RAM 4/64 GB GARANSI RESMI INFINIX - random,5.0,(99 rating),Rp1.524.990,Terjual 500+,Baru,500 Gram,500 Gram,"TIDAK TERIMA DROPSHIP

silakan order sesuai varian warna jika ingin pilih warna

jika pilih warna random maka akan di kirim secara random sesuai stock. thanks

display 6.8 inci
dual camera 13 MP
selfie camera 8 MP
ram 4 GB
memory internal 64 GB
battery 6000 mah

garansi resmi infinix  langsung ke service center infinix

thanks",Humblestore 9,5.0,Kota Tangerang,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/1/26/f1fb41ab-1955-43b2-93d6-df394f8c8013.jpg.webp?ect=4g
1661897296-668,https://www.tokopedia.com/search?condition=1%232&navsource=&page=30&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Tokopedia TeknoOPPO A76 4G 6GB/128GB Smartphone (Garansi Resmi)Rp3.399.000CashbackTangerangOPPO OFFICIAL STORE4.9Terjual 90+,https://www.tokopedia.com/oppo/oppo-a76-4g-6gb-128gb-smartphone-garansi-resmi-glowing-blue?extParam=ivf%3Dfalse%26src%3Dsearch,OPPO A76 4G 6GB/128GB Smartphone (Garansi Resmi) - Glowing Blue,4.9,(54 rating),Rp3.399.000,Terjual 90+,Baru,1.000 Gram,1.000 Gram,"OPPO A76

SPESIFIKASI
Warna: Glowing Black, Glowing Blue
Dimensi: 164.4 x 75.7 x 8.4 mm
Berat: 189 g
RAM: 6GB
ROM: 128GB
Kartu Penyimpanan Perangkat: Didukung
USB OTG: Didukung
CPU: Qualcomm Snapdragon 680
Kecepatan Inti CPU: 8 core, hingga 2,4 GHz
GPU: Qualcomm® Adreno™ GPU 610 @ 1.1 GHz
Baterai: 4880 mAh/18,88 Wh (Rated), 5000 mAh/19.35 Wh (Typical)
Pengisian cepat: Mendukung SUPERVOOC
Sistem operasi: ColorOS 11.1 berdasarkan Android 11
NFC: Tidak didukung
SIM 2: Didukung
Jenis Kartu SIM: Kartu Nano-SIM/kartu Nano-USIM
Versi Bluetooth: Bluetooth 5.0
Antarmuka USB: USB Tipe-C
Jack Earphone: 3.5mm

LAYAR
Ukuran: 16,66 cm (6,56"")
Rasio Layar: 89.9%
Resolusi: 1612 x 720 (HD+)
Refresh Rate: 60Hz/90Hz
Touch Sampling Rate: Maksimum/Default 180 Hz (5 jari)
Gamut Warna: 96% NTSC/100% DCI-P3
Kedalaman Warna: 16,7 juta warna (8-bit)
Kerapatan piksel: 269PPI
Kecerahan: Normal 480 nit, Maks 600 nits di bawah sinar matahari
Panel: LCD (A-Si)
Kaca Penutup: Holitech/BOE AGC DT-Pro

KAMERA
Belakang:
-Kamera utama: 13MP, FOV 80°, lensa 5P, AF 
-Bokeh: 2MP, f/2.4, FOV 89.1°, lensa 3P+IR, FF
Depan: 8MP, (f/2.0); FOV: 79°; lensa: 5P
Mode Pemotretan:
-Belakang: Foto, Video, Malam, Expert, Panorama, Potret, Selang waktu, Pemindai teks, dan Stiker
 -Depan:Foto, Video, Panorama, Potret, Malam, Selang Waktu, Stiker

VIDEO
Belakang:
-1080P@30 fps (default) dan 720P@30 fps 
-Zoom video: 1080P@30 fps 
-EIS tidak didukung
Depan:
-1080P@30fps dan 720P@30fps (Default) 
-Zoom video atau gerakan lambat tidak didukung pada kamera depan

BIOMETRIK
Sidik jari: Mendukung Buka Kunci Sidik Jari Samping
Pengenalan wajah: Didukung

SENSOR
Sensor geomagnetik,  Sensor jarak optik,  Sensor cahaya sekita r, Akselerometer,  Sensor gravitasi , Giroskop virtual , Alat pengukur langkah

DALAM KOTAK
Perangkat x 1 
Kabel USB x 1 
Charger x 1 
Alat ejector SIM x 1 
Kasus pelindung x 1 
Panduan memulai cepat x 1
Kartu garansi x 1",OPPO OFFICIAL STORE,4.9,Kota Tangerang,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/17/1b6b3bd3-9064-4689-bf51-721c5daa7093.jpg.webp?ect=4g
1661787634-62,https://www.tokopedia.com/search?condition=1%232&navsource=&page=40&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Oppo A15s Ram 6GB Internal 128GB Garansi 1 TahunRp1.199.00045%Rp2.199.000Jakarta BaratZhufu jian4.9Terjual 250+,https://www.tokopedia.com/zhufujian/oppo-a15s-ram-6gb-internal-128gb-garansi-1-tahun-putih?extParam=ivf%3Dfalse%26src%3Dsearch,Oppo A15s Ram 6GB Internal 128GB Garansi 1 Tahun - Putih,4.9,(41 rating),Rp1.199.000,Terjual 250+,Baru,500 g,500 g,"OPPO A15S
RAM 6GB
ROM 128GB

GARANSI TOKO 1 TAHUN

Dimensions/Weight
Height: 164.0 mm
Width: 75.4 mm
Thickness: 7.9 mm
Weight: Approximately 175 g (With Battery)

Basic Parameters
Color: Dynamic Black, Mystery Blue, White
Operating System: ColorOS 7.2 based on Android 10
CPU: MediaTek Helio P35
CPU Frequency: 4*1.8GHz+4*2.3GHz
GPU: IMG GE8320@680 MHz 10.2 fps
Battery: 4100/4230mAh (Min/Typ)
RAM: 6GB
Storage: 128GB
External Memory: Supported 256GB
OTG: Supported
Fingerprint: Rear fingerprint
Face Recognition: Yes

Display
Size: 16.55 cm (6.52'')
Touchscreen: Multi-touch, Capacitive Screen
Resolution: 1600 x 720 pixels (HD+)
Colors: 16 million colors
Screen Ratio: 88.7%
Refresh Rate: 60Hz
Glass type of touch panel : Corning Gorilla Glass 3
No stroboscopic eye protection: Supported
Split screen: Supported
Picture in picture: Supported

Camera
Front Sensor: 5MP Waterdrop notch
Flash: Screen lighting supplementary

Rear Camera: 13MP Main Camera + 2MP Mono + 2MP Macro
Zoom: 5x Digital Zoom
Flash: Single color temperature

Video format: MP4 

Aperture:
Front: f/2.4
Rear: f/2.2 + f/2.4

Mode:
Photo, video, professional mode, panorama, portrait, time-lapse photography, AR stickers",Zhufu jian,4.7,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/6/14/b4bf6672-6852-4138-aae2-9a1d77e8476d.jpg.webp?ect=3g
1661901699-836,https://www.tokopedia.com/search?condition=1%232&navsource=&page=27&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,WIBXiaomi redmi 4X 4/64 Garansi Distributor 1 TahunRp728.000Jakarta BaratINFINITITE SHOP4.9Terjual 100+,https://www.tokopedia.com/infinitite/xiaomi-redmi-4x-4-64-garansi-distributor-1-tahun?extParam=ivf%3Dfalse%26src%3Dsearch,Xiaomi redmi 4X 4/64 Garansi Distributor 1 Tahun,4.9,(88 rating),Rp728.000,Terjual 100+,Baru,500 Gram,500 Gram,"Kondisi: Baru
Berat: 400 Gram
Kategori: Android OS
Etalase: HANDPHONE
REDMI 4X PRIME RAM 4GB ROM 64GB

GARANSI 1 TAHUN DISTRIBUTOR
GARANSI TIDAK BERLAKU JIKA DI TEMUKAN HUMAN EROR,SEPERTI :
- TERKENA CAIRAN
- SEGEL RUSAK/HILANG
- TERBAKAR
- TERJATUH
- HUMAN EROR (KESALAHAN PENGGUNA)
- GARANSI LCD 3 BULAN
- ONKIR CLAIM GARANSI DI TANGGUNG PEMBELI
- ULASAN JELEK GARANSI HANGUS

NETWORK
Technology
GSM / CDMA / HSPA / EVDO / LTE

LAUNCH
Announced 2017, March
Status Available. Released 2017, March

BODY
Dimensions 139.2 x 70 x 8.7 mm (5.48 x 2.76 x 0.34 in)
Weight 150 g (5.29 oz)

SIM
Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)

DISPLAY
Type IPS LCD capacitive touchscreen, 16M colors
Size 5.0 inches (~70.7% screen-to-body ratio)
Resolution 720 x 1280 pixels (~294 ppi pixel density)
Multitouch Yes
- MIUI 8
PLATFORM OS Android OS, v6.0.1 (Marshmallow)
Chipset Qualcomm MSM8940 Snapdragon 435
CPU Octa-core 1.4 GHz Cortex-A53
GPU Adreno 505

MEMORY
Card slot microSD, up to 256 GB (dedicated slot)
Internal 64 GB, 4 GB RAM

CAMERA
Primary 13 MP, f/2.0, phase detection autofocus, LED flash
Features Geo-tagging, touch focus, face/smile detection, HDR, panorama
Video 1080p@30fps

Secondary
5 MP, f/2.2, 1080p

SOUND
Alert types Vibration; MP3, WAV ringtones
Loudspeaker Yes
3.5mm jack Yes
- Active noise cancellation with dedicated mic

COMMS
WLAN Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot
Bluetooth v4.2, A2DP, LE
GPS Yes, with A-GPS, GLONASS, BDS
Infrared port Yes
Radio FM radio
USB microUSB v2.0

FEATURES
Sensors Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass
Messaging SMS(threaded view), MMS, Email, Push Mail, IM
Browser HTML5
Java No
- Fast battery charging
- DivX/Xvid/MP4/H.265 player
- MP3/WAV/eAAC+/FLAC player
- Photo/video editor
- Document viewer

BATTERY
Non-removable Li-Po 4100 mAh battery
Lihat Lebih Sedikit",INFINITITE SHOP,4.8,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/3/2/c7bcf106-d8cb-43dd-a74c-255fd3841494.jpg.webp?ect=4g
1661848172-196,https://www.tokopedia.com/search?condition=1%232&navsource=&page=38&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Redmi 9A 3/32GB - Garansi Resmi TAMRp1.240.000CashbackJakarta TimurWahana Selular5.0Terjual 250+,https://www.tokopedia.com/wahanaselular/redmi-9a-3-32gb-garansi-resmi-tam-blue?extParam=ivf%3Dfalse%26src%3Dsearch,Redmi 9A 3/32GB - Garansi Resmi TAM - BLUE,5.0,(120 rating),Rp1.240.000,Terjual 250+,Baru,500 Gram,500 Gram,"Redmi 9A 3/32Gb
Garansi Resmi Tam 2Thn
Ready Gray, blue

Network : GSM / HSPA / LTE
SIM : Dual SIM (Nano-SIM, dual stand-by)
Display : 6.53 inches
Platform : OS Android 10; MIUI 12
Chipset : Mediatek Helio G25 Octa-core
GPU Power VR GE8320
Memory : Internal 32GB 3GB RAM
Main Camera : Single 13 MP
Selfie camera : Single 5 MP
Comms : USB 2.0, Type-C 1.0 reversible connector, USB On-The-Go
Battery : Non-removable Li-Po 5000 mAh battery
Fast charging 10W",Wahana Selular,5.0,Jakarta Timur,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/24/8aa31ee4-469e-4d54-b180-475d73e31aeb.png.webp?ect=4g
1661890655-403,https://www.tokopedia.com/search?condition=1%232&navsource=&page=35&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,OPPO A16 3/32 RAM 3GB ROM 32GB Garansi Resmi Oppo 1 TahunRp1.772.000Jakarta BaratBintangTimurSelindo4.8Terjual 50+,https://www.tokopedia.com/bintangtimurselindo/oppo-a16-3-32-ram-3gb-rom-32gb-garansi-resmi-oppo-1-tahun-space-silver-3-32gb?extParam=ivf%3Dfalse%26src%3Dsearch,"OPPO A16 3/32 RAM 3GB ROM 32GB Garansi Resmi Oppo 1 Tahun - Space Silver, 3/32GB",4.8,(25 rating),Rp1.772.000,Terjual 50+,Baru,500 Gram,500 Gram,"Ready Oppo A16 3/32GB Garansi Resmi Oppo 1 Tahun

Sekedar info,kami BTS sudah berkecimpung lama di dunia ecommerce dan kami mulai fokus kembali ditokopedia (mohon support dan dukungan kalian ya para pelanggan BTS)

Tentang pelayanan kami :
- Kami selalu berusaha memberikan harga yang terbaik / bersaing
- Kami selalu berusaha memberikan kualitas produk yang sesuai dengan deskripsi produk
- Aftersales kami bisa di uji coba (karna kami bukan seller musiman)
- Kami jujur terhadap barang yang kami jual (resmi kami info resmi,inter kami info inter)

Kondisi :
- New & Original 100%
- Garansi resmi oppo indonesia 1 tahun
- Imei Jamin Terdaftar Di Website Kemenpenrin
- Claim di seluruh service center oppo diseluruh indonesia
- *Dapat kartu garansi dari sisi customer , untuk sisi penjual kita tarik untuk daftar garansi*

Isi dalam kotak :
Perangkat x1
Kabel USB x 1
Pengisi daya x1
Alat SIM Ejector x1
Caseing Pelindung x1
Panduan memulai cepat x 1
Kartu Garansi

Baterai 5000mAh Tahan Lama
Layar HD+ Eye Care
Tiga Kamera AI

SPESIFIKASI
Warna: Space Silver | Crystal Black
Dimensi: 163.8 x 75.6 x 8.4mm
Berat: 190g

PENYIMPANAN
ROM: 3 GB
RAM: 32 GB
Tipe RAM: LPDDR4x @ 1867 MHz 2 × 16-bit (3 GB + 32 GB)
Tipe ROM: eMMC 5.1
Penyimpanan Eksternal: Didukung
Versi USB: USB 2.0
USB OTG: Didukung

LAYAR
Ukuran: 6,52"" (16,55 cm)
Rasio Layar: 88,7%
Resolusi: 720x1600 (HD+)
Kecepatan Penyegaran: 60Hz
Kecepatan Sampel Sentuh: 60Hz
Gamut Warna: 71% NTSC (Tipikal)
Kerapatan Piksel: 269 PPI
Rasio Kontras: 1500:1 (Tipikal)
Kecerahan: 480 nits (Tipikal)
Panel: LCD
Kaca Pelindung: Bahan lembaran (PC + PMMA)

KAMERA
Belakang:
Kamera utama 13MP: f/2.2; FOV 80°; lensa 5P; AF
Kamera Mono 2MP: f/2.4; FOV 88,8°; lensa 3P; FF
Kamera Makro 2MP: f/2.4; FOV 88,8°; lensa 3P; FF

Depan:
8MP (f/2.0); FOV79°; Lensa 5P",BintangTimurSelindo,4.5,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/24/5fad633e-e22c-40a8-85e5-54136f84d83c.jpg.webp?ect=4g
1661898446-713,https://www.tokopedia.com/search?condition=1%232&navsource=&page=29&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,OPPO A16 RAM 3/32 GB GARANSI RESMI BY OPPO INDONESIARp1.649.000TangerangTWINS'S CELL5.0Terjual 250+,https://www.tokopedia.com/twinscell/oppo-a16-ram-3-32-gb-garansi-resmi-by-oppo-indonesia-perak-angkasa?extParam=ivf%3Dfalse%26src%3Dsearch,OPPO A16 RAM 3/32 GB GARANSI RESMI BY OPPO INDONESIA - PERAK ANGKASA,5.0,(186 rating),Rp1.649.000,Terjual 250+,Baru,500 Gram,500 Gram,"OPPO A16 3/32GB
Warna: Space Silver | Crystal Black
Baterai 5000mAh Tahan Lama
Layar HD+ Eye Care
Tiga Kamera AI

Spesisfikasi : 
CPU: MediaTek Helio G35
Kecepatan CPU: hingga 2.3GHz
GPU: IMG GE8320 @ 680 MHz
Dimensi: 163.8 x 75.6 x 8.4mm
Berat: 190g
RAM: 32 GB
ROM: 3 GB
Versi USB: USB 2.0
Ukuran: 6,52"" (16,55 cm)
Rasio Layar: 88,7%
Resolusi: 720x1600 (HD+)

Kamera Belakang : 13+2+2 MP
Kamera Depan : 8MP
Baterai : 5000 mAh
Biometrik : Mendukung Buka Sidik Jari Sisi Samping dan Buka Kunci Wajah

Video Belakang:
Kamera belakang: hingga 1080P@30 fps, dan 720P@30 fps
Zoom video: 1080P @ 30 fps

Konektivitas : 
WLAN: Wi-Fi 2,4 GHz, Wi-Fi 5 GHz, Tampilan Wi-Fi
Versi Bluetooth: Bluetooth 5.0
Antarmuka USB: USB Tipe C

Jaringan Seluler : 2G/3G/4G

In The Box :
OPPO A16 x1
Kabel USB x 1
Pengisi daya x1
Alat SIM Ejector x1
Casing Pelindung x1
Panduan memulai cepat x 1
Kartu Garansi x1",TWINS'S CELL,5.0,Kota Tangerang,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/16/fdb4fd1c-2234-47ce-b3bd-580c1b49391b.jpg.webp?ect=4g
1661896609-641,https://www.tokopedia.com/search?condition=1%232&navsource=&page=31&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Sisa 3HP VIVO Y15s ram 3/64Rp1.685.000BekasiUniversalshop15.0Terjual 60+,https://www.tokopedia.com/universalshop1/hp-vivo-y15s-ram-3-64?extParam=ivf%3Dfalse%26src%3Dsearch,HP VIVO Y15s ram 3/64,5.0,(12 rating),Rp1.685.000,Terjual 60+,Baru,485 Gram,485 Gram,"HP VIVO Y15s
RAM 3 GB ROM 64 GB
BATREI 5000 MAH",Universalshop1,4.9,Kota Bekasi,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/2/21/4a928e83-cc80-4cb8-83fd-5571c442f4cf.jpg.webp?ect=4g
1661904601-942,https://www.tokopedia.com/search?condition=1%232&navsource=&page=25&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Super Gadget DaySamsung Galaxy A33 5G 8/256 RAM 8GB 256GB Garansi Resmi SEINRp4.915.000Jakarta UtaraVote VIP5.0Terjual 50+,https://www.tokopedia.com/votevip/samsung-galaxy-a33-5g-8-256-ram-8gb-256gb-garansi-resmi-sein-black?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D11375215,Samsung Galaxy A33 5G 8/256 RAM 8GB 256GB Garansi Resmi SEIN - Black,5.0,(30 rating),Rp4.915.000,Terjual 50+,Baru,400 Gram,400 Gram,"Garansi Resmi Samsung Indonesia

kelengkapan :
- Handphone
- kabel Data
- sim injector

Resmi IMEI sudah terdaftar
Check imei : https://www.kemenperin.go.id/imei/
Jadi saat hp diaktifkan / dipakai otomatis GARANSI Berlaku

NOTE : SAMSUNG PASTI BUKA SEGEL /SEGEL ULANG DAN REPACK UNTUK PENGAKTIFAN GARANSI, MEMBELI BERARTI SETUJU

Agar mengurangi Resiko Kerusakan saat pengiriman Paket, disarankan untuk order ini juga ya gan
- Extra Bubble wrap
https://www.tokopedia.com/votevip/tambahan-bubble-wrap-untuk-packing-agar-lebih-aman

- Extra Box
https://www.tokopedia.com/votevip/tambahan-box-untuk-packing-agar-lebih-aman

NETWORK Technology
GSM / HSPA / LTE / 5G
LAUNCH Announced 2022, March 17
Status Coming soon. Exp. release 2022, April 22
BODY Dimensions 159.7 x 74 x 8.1 mm (6.29 x 2.91 x 0.32 in)
Weight 186 g (6.56 oz)
Build Glass front (Gorilla Glass 5), plastic frame, plastic back
SIM Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)
IP67 dust/water resistant (up to 1m for 30 mins)
DISPLAY Type Super AMOLED, 90Hz
Size 6.4 inches, 98.9 cm2 (~83.7% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~411 ppi density)
Protection Corning Gorilla Glass 5
PLATFORM OS Android 12, One UI 4.1
CPU Octa-core (2.4 GHz & 2.0 GHz)
MEMORY Card slot microSDXC
Internal 256GB 8GB RAM
MAIN CAMERA Quad 48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features LED flash, panorama, HDR
Video 4K@30fps, 1080p@30/120fps
SELFIE CAMERA Single 13 MP, f/2.2, (wide), 1/3.1"", 1.12µm
Video 1080p@30fps
SOUND Loudspeaker Yes
3.5mm jack No
COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth 5.1, A2DP, LE
GPS Yes, with A-GPS, GLONASS, GALILEO, BDS
NFC Yes (market/region dependent)
Radio Unspecified
USB USB Type-C 2.0, USB On-The-Go
FEATURES Sensors Fingerprint (under display, optical), accelerometer, gyro, compass
BATTERY Type Li-Po 5000 mAh",Vote VIP,5.0,Jakarta Utara,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/31/88ad3a06-ecdb-423c-a5b3-817ba372d514.jpg.webp?ect=4g
1661787723-64,https://www.tokopedia.com/search?condition=1%232&navsource=&page=40&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Infinix Smart 6 HD 2/32GB - Ram 2GB Internal 32GB Garansi Resmi InfiniRp1.139.000CashbackJakarta UtaraSONIC Gadgets5.0Terjual 100+,https://www.tokopedia.com/sonicgadgets/infinix-smart-6-hd-2-32gb-ram-2gb-internal-32gb-garansi-resmi-infini-origin-blue?extParam=ivf%3Dfalse%26src%3Dsearch,Infinix Smart 6 HD 2/32GB - Ram 2GB Internal 32GB Garansi Resmi Infini - Origin Blue,5.0,(22 rating),Rp1.139.000,Terjual 100+,Baru,500 g,500 g,"*Tambahan Headset*
https://www.tokopedia.com/sonicgadgets/olike-earphone-in-ear-headset-handsfree-hd-audio-oh-w3


*Tambahan Charger Quick Charge 3.0*
https://www.tokopedia.com/sonicgadgets/olike-kepala-charger-qualcomm-quick-charge-3-0-dual-port-op-df1


infinix Smart 6 HD 2/32 GB Garansi resmi

NETWORK Technology
GSM / HSPA / LTE
LAUNCH Announced 2022, April 26
Status Available. Released 2022, April 26
BODY Dimensions -
Weight -
Build Glass front, plastic back, plastic frame
SIM Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type IPS LCD, 500 nits (peak)
Size 6.6 inches, 105.2 cm2
Resolution 720 x 1600 pixels, 20:9 ratio (~266 ppi density)
PLATFORM OS Android 11 (Go edition), XOS 7.6
Chipset Unisoc SC9863A (28nm)
CPU Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)
GPU IMG8322
MEMORY Card slot microSDXC (dedicated slot)
Internal 32GB 2GB RAM,
eMMC 5.1
MAIN CAMERA Dual 8 MP, AF
QVGA
Features Dual-LED flash
Video 1080p@30fps
SELFIE CAMERA Single 5 MP
Features LED flash
Video 720p@30fps
SOUND Loudspeaker Yes
3.5mm jack Yes
COMMS WLAN Wi-Fi 802.11 b/g/n, hotspot
Bluetooth Yes
GPS Yes, with A-GPS
NFC No
Radio FM radio
USB microUSB 2.0, USB On-The-Go
FEATURES Sensors Accelerometer, proximity
BATTERY Type Li-Po 5000 mAh, non-removable",SONIC Gadgets,4.9,Jakarta Utara,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/7/ff190544-3f17-40f7-8231-2ed865f91b11.jpg.webp?ect=3g
1661898686-722,https://www.tokopedia.com/search?condition=1%232&navsource=&page=29&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,WIBRealme C35 4/64GB - RAM 4GB / ROM 64GB - Garansi ResmiRp1.975.000Jakarta PusatH2 Cellular4.9Terjual 70+,https://www.tokopedia.com/h2cell/realme-c35-4-64gb-ram-4gb-rom-64gb-garansi-resmi-hitam?extParam=ivf%3Dfalse%26src%3Dsearch,Realme C35 4/64GB - RAM 4GB / ROM 64GB - Garansi Resmi - Hitam,4.9,(12 rating),Rp1.975.000,Terjual 70+,Baru,600 Gram,600 Gram,"Garansi Resmi Realme Indonesia

Barang Reapck, Kartu Garansi Penjual Diambil

Membeli berarti Menyetujui.....!!!!!!!!!",H2 Cellular,4.9,Jakarta Pusat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/30/2be32920-25e2-43e5-a56b-d07d6d4e1738.jpg.webp?ect=3g
